trial_id,mdim_mean,mdim_std,mdim_nan_mean,mdim_nan_std,cdim_mean,cdim_std,cdim_nan_mean,cdim_nan_std,nreward_mean,nreward_std,ureward_mean,ureward_std,post,len_mean,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.ars_iters,config.mdim_trials,config.post,config.agent_folder,config.env_name,config.algo,config.mdim_kwargs.upper_size_ratio,config.mdim_kwargs.lower_size_ratio
62c01_00010,1.22006772658693,0.03620877797536497,1.22006772658693,0.03620877797536497,7.242032261127188,0.735188667166539,7.242032261127188,0.735188667166539,2632.9099609375,11.854681044929128,2632.9099791999997,11.854733171857289,iden,1000.0,6.798453330993652,True,,,1,147c0cb7c7fd404cb96948154e67becc,2021-08-30_18-40-49,1630374049,6.798453330993652,27788,kbuc,128.111.57.123,6.798453330993652,0,1,"10_algo=sac,env_name=HopperBulletEnv-v0,post=None",100,10,,/home/sgillen/work/policy_refinement/test_agent/hmmm/,HopperBulletEnv-v0,sac,1.0,0.0
62c01_00011,1.3066177687142624,0.06121917896099238,1.3066177687142624,0.06121917896099238,7.230764215527162,0.5049412952989615,7.230764215527162,0.5049412952989615,2693.1984619140626,12.604204992916486,2693.1984626000003,12.604214044406735,iden,1000.0,6.679058790206909,True,,,1,347aacc8cbd041078491be6255884dea,2021-08-30_18-40-50,1630374050,6.679058790206909,27789,kbuc,128.111.57.123,6.679058790206909,0,1,"11_algo=tqc,env_name=HopperBulletEnv-v0,post=None",100,10,,/home/sgillen/work/policy_refinement/test_agent/hmmm/,HopperBulletEnv-v0,tqc,1.0,0.0
62c01_00012,2.449653937960094,0.12314841563691223,2.449653937960094,0.12314841563691223,6.007159689711964,0.5952009633435464,6.007159689711964,0.5952009633435464,33.93177337646485,0.6501174092165986,2883.6731441,55.24983023361105,iden,1000.0,10.35129976272583,True,,,1,9c21288a910f4e06aa04b9956991a70f,2021-08-30_18-40-58,1630374058,10.35129976272583,27790,kbuc,128.111.57.123,10.35129976272583,0,1,"12_algo=ppo,env_name=AntBulletEnv-v0,post=None",100,10,,/home/sgillen/work/policy_refinement/test_agent/hmmm/,AntBulletEnv-v0,ppo,1.0,0.0
62c01_00013,1.6614308769419963,0.12465164011918235,1.6614308769419963,0.12465164011918235,8.565320836579307,0.27970545955076626,8.565320836579307,0.27970545955076626,3313.426123046875,41.51843537012295,3313.4260999,41.51840932908725,iden,1000.0,9.034873008728027,True,,,1,2a772ade2cde47eb99690a514a107ffa,2021-08-30_18-40-59,1630374059,9.034873008728027,27793,kbuc,128.111.57.123,9.034873008728027,0,1,"13_algo=td3,env_name=AntBulletEnv-v0,post=None",100,10,,/home/sgillen/work/policy_refinement/test_agent/hmmm/,AntBulletEnv-v0,td3,1.0,0.0
62c01_00014,1.634661743683227,0.1281994235130319,1.634661743683227,0.1281994235130319,12.52995323091854,0.4833076773533994,12.52995323091854,0.4833076773533994,3096.7435546875,20.892749182842543,3096.7435778999998,20.892738343037717,iden,1000.0,9.890516519546509,True,,,1,9814999d3f0c4240b8655a6e8e9f6186,2021-08-30_18-41-01,1630374061,9.890516519546509,27792,kbuc,128.111.57.123,9.890516519546509,0,1,"14_algo=sac,env_name=AntBulletEnv-v0,post=None",100,10,,/home/sgillen/work/policy_refinement/test_agent/hmmm/,AntBulletEnv-v0,sac,1.0,0.0
62c01_00015,1.6450901646819225,0.2197028125154205,1.6450901646819225,0.2197028125154205,10.461982240610043,0.6337667163421082,10.461982240610043,0.6337667163421082,3418.044580078125,171.08595988082863,3418.0445910000003,171.08601338535408,iden,1000.0,11.24288296699524,True,,,1,8169615d6b1b44c19172448ebb2e5474,2021-08-30_18-41-11,1630374071,11.24288296699524,27784,kbuc,128.111.57.123,11.24288296699524,0,1,"15_algo=tqc,env_name=AntBulletEnv-v0,post=None",100,10,,/home/sgillen/work/policy_refinement/test_agent/hmmm/,AntBulletEnv-v0,tqc,1.0,0.0
62c01_00016,,,,,,,,,2.2235992193222045,1.077246986635228,17.4344898,8.446329302787392,iden,150.0,0.7701754570007324,True,,,1,604fd62cd564435aac7fdaa4502609bf,2021-08-30_18-41-01,1630374061,0.7701754570007324,27785,kbuc,128.111.57.123,0.7701754570007324,0,1,"16_algo=ppo,env_name=ReacherBulletEnv-v0,post=None",100,10,,/home/sgillen/work/policy_refinement/test_agent/hmmm/,ReacherBulletEnv-v0,ppo,1.0,0.0
62c01_00017,,,,,,,,,12.441166591644286,5.627355228222092,12.441166800000001,5.627355614935168,iden,150.0,0.5878183841705322,True,,,1,d63f2546818943f4bf2143f6b04dd362,2021-08-30_18-41-02,1630374062,0.5878183841705322,27783,kbuc,128.111.57.123,0.5878183841705322,0,1,"17_algo=td3,env_name=ReacherBulletEnv-v0,post=None",100,10,,/home/sgillen/work/policy_refinement/test_agent/hmmm/,ReacherBulletEnv-v0,td3,1.0,0.0
62c01_00018,,,,,,,,,14.296784448623658,11.198745525642352,14.2967847,11.198745685831723,iden,150.0,0.6653428077697754,True,,,1,77db16b7fc8848d69478d3c274b9b119,2021-08-30_18-41-02,1630374062,0.6653428077697754,27781,kbuc,128.111.57.123,0.6653428077697754,0,1,"18_algo=sac,env_name=ReacherBulletEnv-v0,post=None",100,10,,/home/sgillen/work/policy_refinement/test_agent/hmmm/,ReacherBulletEnv-v0,sac,1.0,0.0
62c01_00019,,,,,,,,,15.299589067697525,8.984379496648044,15.299589600000001,8.98437954408634,iden,150.0,0.6886842250823975,True,,,1,65af0ed77027463da88e2bd442ed3987,2021-08-30_18-41-04,1630374064,0.6886842250823975,27780,kbuc,128.111.57.123,0.6886842250823975,0,1,"19_algo=tqc,env_name=ReacherBulletEnv-v0,post=None",100,10,,/home/sgillen/work/policy_refinement/test_agent/hmmm/,ReacherBulletEnv-v0,tqc,1.0,0.0
