trial_id,mdim_mean,mdim_std,mdim_nan_mean,mdim_nan_std,cdim_mean,cdim_std,cdim_nan_mean,cdim_nan_std,nreward_mean,nreward_std,ureward_mean,ureward_std,post,len_mean,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.ars_iters,config.mdim_trials,config.agent_folder,config.env_name,config.post,config.algo
9763b_00034,0.16001208833428085,0.08222847857399784,0.16001208833428085,0.08222847857399784,5.243063572235202,1.0689758368220095,5.243063572235202,1.0689758368220095,288.01222839355466,17.692107002432042,288.01222800000005,17.692110040240397,postprocess_default,213.3,550.6236548423767,True,,,1.0,cd4b7c2afe1749079f5c1292ef09ef92,2021-09-05_20-55-36,1630900536.0,550.6236548423767,14675.0,sguc2,128.111.57.96,550.6236548423767,0.0,1.0,"34_algo=tqc,env_name=LunarLanderContinuous-v2,post=<function postprocess_default at 0x7fdd1f24d048>",200.0,10.0,/home/sgillen/work/policy_refinement/test_agent/box2d_all/,LunarLanderContinuous-v2,<function postprocess_default at 0x7fdd1f24d048>,tqc
9763b_00035,0.21225626373670572,0.15638928906395444,0.21225626373670572,0.15638928906395444,5.963880283834241,1.138073375630619,5.963880283834241,1.138073375630619,217.97762908935547,149.3378353452486,217.97762359999996,149.33783770623776,postprocess_default,257.5,843.0996353626251,True,,,1.0,d5567473a66c4a2f969e7ccc785f8dd5,2021-09-05_21-09-41,1630901381.0,843.0996353626251,14814.0,sguc2,128.111.57.96,843.0996353626251,0.0,1.0,"35_algo=ddpg,env_name=LunarLanderContinuous-v2,post=<function postprocess_default at 0x7fdd1f24d048>",200.0,10.0,/home/sgillen/work/policy_refinement/test_agent/box2d_all/,LunarLanderContinuous-v2,<function postprocess_default at 0x7fdd1f24d048>,ddpg
9763b_00036,2.245857966998524,0.1604195642075336,2.245857966998524,0.1604195642075336,7.420256426021625,0.42488884065824717,7.420256426021625,0.42488884065824717,20.21491527557373,0.06822941148442042,313.8401837,1.0592721526121696,postprocess_default,701.6,2097.1711959838867,True,,,1.0,39e15dcf7c1e4570908dd1381c837b73,2021-09-05_21-37-16,1630903036.0,2097.1711959838867,14961.0,sguc2,128.111.57.96,2097.1711959838867,0.0,1.0,"36_algo=a2c,env_name=BipedalWalker-v3,post=<function postprocess_default at 0x7fdd1f24d048>",200.0,10.0,/home/sgillen/work/policy_refinement/test_agent/box2d_all/,BipedalWalker-v3,<function postprocess_default at 0x7fdd1f24d048>,a2c
9763b_00037,1.623858416011189,0.10023238678273558,1.623858416011189,0.10023238678273558,9.306072321059215,1.844683965197531,9.306072321059215,1.844683965197531,24.662231063842775,0.07627964553718526,325.6451677,1.007208962639031,postprocess_default,745.3,2198.8186469078064,True,,,1.0,3206962ccbb84681a09d4b3ea4a3a6b0,2021-09-05_21-46-22,1630903582.0,2198.8186469078064,15349.0,sguc2,128.111.57.96,2198.8186469078064,0.0,1.0,"37_algo=ppo,env_name=BipedalWalker-v3,post=<function postprocess_default at 0x7fdd1f24d048>",200.0,10.0,/home/sgillen/work/policy_refinement/test_agent/box2d_all/,BipedalWalker-v3,<function postprocess_default at 0x7fdd1f24d048>,ppo
9763b_00038,1.2335009000354262,0.07949375199258837,1.2335009000354262,0.07949375199258837,15.503423642193377,1.335792126684242,15.503423642193377,1.335792126684242,321.0097351074219,1.2489858993007479,321.0097389,1.2489941524141268,postprocess_default,1129.8,3305.2058577537537,True,,,1.0,465df5ae7171415ba0c6739fc491ed29,2021-09-05_22-29-32,1630906172.0,3305.2058577537537,16058.0,sguc2,128.111.57.96,3305.2058577537537,0.0,1.0,"38_algo=sac,env_name=BipedalWalker-v3,post=<function postprocess_default at 0x7fdd1f24d048>",200.0,10.0,/home/sgillen/work/policy_refinement/test_agent/box2d_all/,BipedalWalker-v3,<function postprocess_default at 0x7fdd1f24d048>,sac
9763b_00039,1.4482237331529795,0.0954659146104987,1.4482237331529795,0.0954659146104987,12.219994948763567,0.7424316335798546,12.219994948763567,0.7424316335798546,334.4595001220703,0.6237321098157331,334.4594987,0.6237395641177648,postprocess_default,686.4,1856.9467434883118,True,,,1.0,76cfd44d73244363ba8459433da4ba76,2021-09-05_22-08-15,1630904895.0,1856.9467434883118,16118.0,sguc2,128.111.57.96,1856.9467434883118,0.0,1.0,"39_algo=td3,env_name=BipedalWalker-v3,post=<function postprocess_default at 0x7fdd1f24d048>",200.0,10.0,/home/sgillen/work/policy_refinement/test_agent/box2d_all/,BipedalWalker-v3,<function postprocess_default at 0x7fdd1f24d048>,td3
9763b_00040,1.4051090804294444,0.09170996294788908,1.4051090804294444,0.09170996294788908,11.666316549041554,0.5263175685794896,11.666316549041554,0.5263175685794896,344.02833862304686,0.17434993667176107,344.0283447,0.17435154266656636,postprocess_default,675.5,1991.2896518707275,True,,,1.0,971c2ed9359744748fbc29067eb70300,2021-09-05_22-19-35,1630905575.0,1991.2896518707275,16200.0,sguc2,128.111.57.96,1991.2896518707275,0.0,1.0,"40_algo=tqc,env_name=BipedalWalker-v3,post=<function postprocess_default at 0x7fdd1f24d048>",200.0,10.0,/home/sgillen/work/policy_refinement/test_agent/box2d_all/,BipedalWalker-v3,<function postprocess_default at 0x7fdd1f24d048>,tqc
9763b_00041,1.4268152533742195,0.12403920196698015,1.4268152533742195,0.12403920196698015,15.478645425994284,0.6340028281597646,15.478645425994284,0.6340028281597646,291.9538513183594,1.4587341905285116,291.9538443,1.4587339735203382,postprocess_default,771.5,1992.6629421710968,True,,,1.0,18031ee49e434e17b3c72771da2c0c0f,2021-09-05_22-41-29,1630906889.0,1992.6629421710968,16294.0,sguc2,128.111.57.96,1992.6629421710968,0.0,1.0,"41_algo=ddpg,env_name=BipedalWalker-v3,post=<function postprocess_default at 0x7fdd1f24d048>",200.0,10.0,/home/sgillen/work/policy_refinement/test_agent/box2d_all/,BipedalWalker-v3,<function postprocess_default at 0x7fdd1f24d048>,ddpg
9763b_00042,0.8022695175128163,0.7498358059380275,0.8022695175128163,0.7498358059380275,7.109364620372442,2.0541702463703833,7.109364620372442,2.0541702463703833,13.997288370132447,9.699980876016845,145.6636105,100.9434246402992,postprocess_default,1692.2,4746.0802590847015,True,,,1.0,73d99927890f451cb654a164dd1913bd,2021-09-05_23-38-42,1630910322.0,4746.0802590847015,16459.0,sguc2,128.111.57.96,4746.0802590847015,0.0,1.0,"42_algo=a2c,env_name=BipedalWalkerHardcore-v3,post=<function postprocess_default at 0x7fdd1f24d048>",200.0,10.0,/home/sgillen/work/policy_refinement/test_agent/box2d_all/,BipedalWalkerHardcore-v3,<function postprocess_default at 0x7fdd1f24d048>,a2c
9763b_00043,0.920001144758737,0.6737852167889009,0.920001144758737,0.6737852167889009,5.450185272602706,0.9221510522968536,5.450185272602706,0.9221510522968536,12.339904260635375,9.222119525025095,131.99304439999997,98.64384126780992,postprocess_default,1458.9,4752.049465417862,True,,,1.0,86894ae0e60243f791f9088e1ddf56f2,2021-09-05_23-48-46,1630910926.0,4752.049465417862,16561.0,sguc2,128.111.57.96,4752.049465417862,0.0,1.0,"43_algo=ppo,env_name=BipedalWalkerHardcore-v3,post=<function postprocess_default at 0x7fdd1f24d048>",200.0,10.0,/home/sgillen/work/policy_refinement/test_agent/box2d_all/,BipedalWalkerHardcore-v3,<function postprocess_default at 0x7fdd1f24d048>,ppo
