trial_id,mdim_mean,mdim_std,mdim_nan_mean,mdim_nan_std,cdim_mean,cdim_std,cdim_nan_mean,cdim_nan_std,nreward_mean,nreward_std,ureward_mean,ureward_std,post,len_mean,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.ars_iters,config.mdim_trials,config.post,config.env_name,config.algo,config.agent_folder
25380_00000,1.560541337998226,0.14520258087652924,1.560541337998226,0.14520258087652924,5.336189767856764,0.6613076578920933,5.336189767856764,0.6613076578920933,33.376486206054686,0.1703490298796122,2111.3645081,10.776165352270969,iden,1000.0,9.567378044128418,True,,,1,54fae9305d85449fb920d7279bb3acc7,2021-09-06_13-29-44,1630960184,9.567378044128418,732,kbuc,128.111.57.123,9.567378044128418,0,1,"0_algo=ppo,env_name=Walker2DBulletEnv-v0,post=None",200,10,,Walker2DBulletEnv-v0,ppo,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00001,1.296571903036809,0.19295989150194814,1.296571903036809,0.19295989150194814,10.881103909677343,3.0990276072009753,10.881103909677343,3.0990276072009753,2052.8876922607424,568.9737353993812,2052.8877462,568.9737558096818,iden,917.5,7.273633241653442,True,,,1,c364d0409d01479e831e19efb83a5533,2021-09-06_13-29-41,1630960181,7.273633241653442,776,kbuc,128.111.57.123,7.273633241653442,0,1,"1_algo=td3,env_name=Walker2DBulletEnv-v0,post=None",200,10,,Walker2DBulletEnv-v0,td3,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00002,1.267626955357793,0.2760997755021755,1.267626955357793,0.2760997755021755,10.661318655439924,2.9385906944400872,10.661318655439924,2.9385906944400872,2064.071131324768,681.33672898777,2064.0711534,681.3367372051074,iden,901.5,7.658928394317627,True,,,1,d551cdfcb95742acb3716058ed903333,2021-09-06_13-29-42,1630960182,7.658928394317627,779,kbuc,128.111.57.123,7.658928394317627,0,1,"2_algo=sac,env_name=Walker2DBulletEnv-v0,post=None",200,10,,Walker2DBulletEnv-v0,sac,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00003,1.3050093268052376,0.12888901867189567,1.3050093268052376,0.12888901867189567,9.415485105331836,0.8846972962137091,9.415485105331836,0.8846972962137091,2418.166795349121,755.757647401227,2418.1668406,755.7576663702482,iden,907.8,8.03664517402649,True,,,1,d7cab7e1ac174a5b8497cb42f42fe033,2021-09-06_13-29-50,1630960190,8.03664517402649,726,kbuc,128.111.57.123,8.03664517402649,0,1,"3_algo=tqc,env_name=Walker2DBulletEnv-v0,post=None",200,10,,Walker2DBulletEnv-v0,tqc,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00004,0.6569253270623101,0.038910607088030146,0.6569253270623101,0.038910607088030146,4.435246395171145,1.1429435581322505,4.435246395171145,1.1429435581322505,38.49328496456146,11.745547176393105,905.9549499000001,276.43617966451257,iden,909.8,9.839357376098633,True,,,1,ee02c32d3d57402c803cc6bb3b96ac61,2021-09-06_13-29-52,1630960192,9.839357376098633,719,kbuc,128.111.57.123,9.839357376098633,0,1,"4_algo=a2c,env_name=Walker2DBulletEnv-v0,post=None",200,10,,Walker2DBulletEnv-v0,a2c,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00005,1.0765738238585663,0.23895105800114605,1.0765738238585663,0.23895105800114605,10.004347551894508,0.762018740131363,10.004347551894508,0.762018740131363,1015.0786804199219,790.5226111558491,1015.0786978999998,790.5226217483847,iden,529.5,4.318987131118774,True,,,1,c9a0b0026bd5481f9cd063de0d2c3600,2021-09-06_13-29-49,1630960189,4.318987131118774,731,kbuc,128.111.57.123,4.318987131118774,0,1,"5_algo=ddpg,env_name=Walker2DBulletEnv-v0,post=None",200,10,,Walker2DBulletEnv-v0,ddpg,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00006,1.5739438634744058,0.09385057770380642,1.5739438634744058,0.09385057770380642,5.134704691913461,0.367145974735947,5.134704691913461,0.367145974735947,26.92579593658447,0.35950218379610144,2908.1696115999994,38.82868314038704,iden,1000.0,9.857500076293945,True,,,1,475bf0e1087a418589f6167e54848612,2021-09-06_13-30-00,1630960200,9.857500076293945,720,kbuc,128.111.57.123,9.857500076293945,0,1,"6_algo=ppo,env_name=HalfCheetahBulletEnv-v0,post=None",200,10,,HalfCheetahBulletEnv-v0,ppo,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00007,1.3740645804998457,0.08280263574944521,1.3740645804998457,0.08280263574944521,8.956402118770518,0.5157055738013933,8.956402118770518,0.5157055738013933,2826.1247314453126,14.489160771110209,2826.1247549,14.489176611889063,iden,1000.0,8.70507025718689,True,,,1,8f7609e2e21d46d79758ba8a2fbb7fad,2021-09-06_13-30-00,1630960200,8.70507025718689,712,kbuc,128.111.57.123,8.70507025718689,0,1,"7_algo=td3,env_name=HalfCheetahBulletEnv-v0,post=None",200,10,,HalfCheetahBulletEnv-v0,td3,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00008,1.1592614797965808,0.0973098303478772,1.1592614797965808,0.0973098303478772,8.502493579826057,0.4869574818014534,8.502493579826057,0.4869574818014534,2793.4187744140627,8.802360133681214,2793.41887,8.802346693897018,iden,1000.0,9.430286169052124,True,,,1,b5c1c2738e684423ab19e0daf3098de5,2021-09-06_13-30-03,1630960203,9.430286169052124,729,kbuc,128.111.57.123,9.430286169052124,0,1,"8_algo=sac,env_name=HalfCheetahBulletEnv-v0,post=None",200,10,,HalfCheetahBulletEnv-v0,sac,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00009,1.4545015228100926,0.06529099050641686,1.4545015228100926,0.06529099050641686,5.840620706244057,0.346749462054738,5.840620706244057,0.346749462054738,3683.6040771484377,17.60268752241662,3683.6040834,17.602737922847414,iden,1000.0,9.252669334411621,True,,,1,dada8a8c285649ef8d4888941f42eada,2021-09-06_13-30-10,1630960210,9.252669334411621,722,kbuc,128.111.57.123,9.252669334411621,0,1,"9_algo=tqc,env_name=HalfCheetahBulletEnv-v0,post=None",200,10,,HalfCheetahBulletEnv-v0,tqc,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
